GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Server Auth Modules,net.trajano.auth.filter.internal,BasicPrincipal,9,0,0,0,4,0,2,0,2,0
Server Auth Modules,net.trajano.auth.filter.internal,UserInjectedServletRequest,41,0,6,0,10,0,8,0,5,0
Server Auth Modules,net.trajano.auth.filter.internal,ExecuteChain,21,0,0,0,7,0,2,0,2,0
Server Auth Modules,net.trajano.auth.filter.internal,JaspicFilterCallbackHandler,103,0,12,0,20,0,9,0,3,0
Server Auth Modules,net.trajano.auth.filter.internal,HttpServletRequestResponseMessageInfo,27,0,0,0,9,0,6,0,6,0
Server Auth Modules,net.trajano.auth,GoogleAuthModule,64,0,0,0,10,0,3,0,3,0
Server Auth Modules,net.trajano.auth,HttpHeaderAuthModule,128,78,11,11,19,21,12,7,4,4
Server Auth Modules,net.trajano.auth,OpenIDConnectAuthModule,46,8,2,0,6,3,3,1,2,1
Server Auth Modules,net.trajano.auth,OAuthModule,1172,12,104,0,185,4,72,1,20,1
Server Auth Modules,net.trajano.auth.internal,Base64,0,494,2,40,0,75,2,28,0,9
Server Auth Modules,net.trajano.auth.internal,JsonWebAlgorithm,211,0,0,0,22,0,5,0,5,0
Server Auth Modules,net.trajano.auth.internal,CipherUtil,0,108,0,2,0,26,0,7,0,6
Server Auth Modules,net.trajano.auth.internal,Utils,200,38,20,8,28,8,13,10,3,6
Server Auth Modules,net.trajano.auth.internal,OAuthToken,70,0,0,0,17,0,12,0,12,0
Server Auth Modules,net.trajano.auth.internal,OAuthParameters,0,3,0,0,0,2,0,1,0,1
Server Auth Modules,net.trajano.auth.internal,JsonWebKeySet,110,0,12,0,22,0,11,0,5,0
Server Auth Modules,net.trajano.auth.internal,TokenCookie,141,0,6,0,30,0,12,0,9,0
Server Auth Modules,net.trajano.auth.internal,OpenIDProviderConfiguration,157,0,0,0,40,0,23,0,23,0
Server Auth Modules,net.trajano.auth.filter,JaspicFilter,193,0,20,0,48,0,14,0,4,0
